TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2019-05-01 11:32:18.474,1.612575072268521,0.06116923321729575,0.3319094464534104,1.577782957406638,0.4565302700697071,-0.2220895997445523,-0.4949159098789175,0.6676016391789041,1.097273327174923,0.2011795472831845,0.2197700799573568,1.084012201164932,0.3265431484073154,-0.1838289213385079,-0.1637835310617182,0.6298866945338407,-0.4159187245802907,-0.5440961037219242,-0.4602705458878866,-0.03605547417197504,809.0842490842491,809.0842490842491,814.3223443223443,813.1135531135532,893.6996336996338,-0.279114,0.054932,0.965637,4.119720,-9.742279,-1.682281,1,1,1,1,1,65.000000
2019-05-01 11:32:19.493,1.175785079439593,-0.1574414347980713,0.2209472026262196,1.251372993526422,0.4761962307187712,-0.4008734868112804,-0.09018976727949012,0.8125202941518441,1.340469719372501,0.09194001476929085,0.4523985418931911,1.312824076210502,0.5368185479933247,-0.1559795737101322,-0.1044086975410586,0.580614353940232,-0.3310658036480813,-0.638115562030968,-0.5822846949037425,-0.1275016031879314,745.4212454212454,817.948717948718,824.3956043956044,742.6007326007326,662.8205128205128,-0.286377,0.056030,0.959717,4.082336,-10.355377,-2.175751,1,1,1,1,1,65.000000
2019-05-01 11:32:20.474,0.8894970780762271,0.4542408770380747,0.6507692423563032,1.095087951842871,0.516558756419958,0.04502274214446857,0.151479504180444,0.9204718569419105,1.247370299239279,0.2898324024886032,0.7075198155576085,1.264515273139846,0.4880419641390986,-0.04926787422826167,-0.02938753145975483,0.2630408482419336,-0.3526161928440176,-0.6975594947683316,-0.4624700936538527,-0.0413911171740588,812.7106227106227,808.6813186813187,809.4871794871796,820.3663003663004,783.2967032967033,-0.292297,0.060669,0.964111,4.501038,-10.295563,-2.011261,1,1,1,1,1,65.000000
2019-05-01 11:32:20.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:21.475,0.878798231789797,0.5843764181291953,0.9084860691153375,1.095500477923468,0.5672951399227514,0.2498103564558888,0.4709854780562704,1.010951153438604,1.230505507839015,0.3561354560413056,0.4647868862458956,1.250611242550732,0.5207151215806398,-0.1871653841541063,-0.06888676733632057,0.3003200212920781,-0.3980544036136179,-0.7878905906808515,-0.4936130621879045,-0.008508044983978117,751.0622710622711,817.948717948718,841.7216117216118,738.974358974359,838.0952380952381,-0.290833,0.067627,0.959778,4.157104,-11.574097,-0.321503,1,1,1,1,1,65.000000
2019-05-01 11:32:21.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:22.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:22.474,0.878798231789797,0.6073947735469898,1.135891992489054,1.095500477923468,0.5672951399227514,0.2835826907845094,0.8959180073632411,1.010951153438604,1.230505507839015,0.264559531376255,0.6826295602458059,1.250611242550732,0.5207151215806398,-0.274702735753397,0.007254108977108833,0.3003200212920781,-0.3980544036136179,-0.6393738245854458,-0.4684093938116499,-0.008508044983978117,821.1721611721612,809.4871794871796,807.8754578754579,829.6336996336996,1068.571428571429,-0.282654,0.069031,0.964294,4.396362,-8.934784,-2.250519,1,2,1,1,2,65.000000
2019-05-01 11:32:22.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-01 11:32:23.482,0.878798231789797,0.9848552569283063,1.183898978071874,1.095500477923468,0.5672951399227514,0.6517721498199753,0.9878240365122286,1.010951153438604,1.230505507839015,0.4162141928014484,0.7639676614088378,1.250611242550732,0.5207151215806398,-0.1745976997617471,-0.02468463634496667,0.3003200212920781,-0.3980544036136179,-0.6390493206964375,-0.4416216473100635,-0.008508044983978117,724.8717948717949,826.007326007326,811.9047619047619,724.0659340659341,1227.728937728938,-0.280457,0.068909,0.967102,4.172058,-9.637604,-1.973877,1,2,1,1,2,65.000000
