TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
49:47.9,0.223751383,0.08414085,0.269834238,0.305778739,0.250405968,-0.106837608,-0.154710963,0.348497441,0.5979005,0.024277594,0.325958054,0.712441937,0.495293564,0.54627647,0.624294671,0.544133695,0.228825939,0.578042079,0.329492778,0.39946332,816.3369963,818.3516484,808.2783883,825.2014652,892.8937729,-0.356323,0.111023,0.937195,3.992615,-6.235657,-0.471039,1,1,1,1,1,70,
49:48.9,0.667568908,-0.008882051,0.048939484,0.125912207,0.298332875,-0.164554862,-0.368436713,0.261803355,0.645001987,0.044122734,0.313136958,0.593116977,0.502476341,0.554368187,0.468054138,0.361162205,0.299278303,0.617626891,0.235764916,0.356195933,805.0549451,812.3076923,798.6080586,814.7252747,682.5641026,-0.355408,0.107788,0.937744,3.753357,-7.880554,-1.869202,1,1,1,1,1,70,
49:49.9,0.630508568,0.109246939,-0.023269036,0.309570786,0.337640965,-0.118770417,-0.501082041,0.287046977,0.783950121,0.000783186,-0.147296321,0.591380373,0.465618815,0.446934433,0.536320925,0.417476345,0.314992066,0.58400467,0.340597777,0.248635626,813.5164835,813.9194139,799.8168498,798.6080586,668.4615385,-0.35498,0.105896,0.938354,4.545898,-6.549683,-1.831818,1,1,1,1,1,75,
49:50.9,0.345126796,-0.095515046,0.038416018,0.140377408,0.404491814,-0.307751072,-0.576963066,0.245222905,0.622653159,0.061008899,-0.114483897,0.668364651,0.373428427,0.377889615,0.450229197,0.706586478,0.350854051,0.68038967,0.302080145,0.552298805,819.96337,818.7545788,788.9377289,807.0695971,771.6117216,-0.36084,0.107239,0.937378,3.573914,-7.603912,-1.719666,1,1,1,1,1,75,
49:51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
49:51.9,0.438756328,-0.254939451,0.015192523,0.377256953,0.540240208,-0.053688557,0.086993897,0.352306134,0.50191667,0.163151047,0.303524751,0.685669875,0.408444526,0.389759246,0.493919048,0.600613846,0.253318641,0.572683673,0.275630818,0.419923643,810.6959707,813.9194139,800.2197802,830.4395604,882.8205128,-0.357605,0.104614,0.933838,4.276733,-6.377716,-1.77948,1,1,1,1,1,75,
49:52.9,1.102349876,0.457881035,0.514548508,0.476739623,0.399494572,0.054413089,0.492217973,0.577889803,0.545703628,0.434433567,0.420594232,0.479128361,0.389329303,0.428362095,0.543035801,0.491413671,0.396012304,0.568819221,0.219849395,0.138330328,765.1648352,809.0842491,763.956044,810.2930403,830.03663,-0.354614,0.105591,0.937439,4.104767,-8.501129,-1.831818,1,1,1,1,1,75,
49:53.9,1.596391102,0.538706654,0.681445611,0.576692862,0.873542984,0.253979019,0.642942838,0.759819522,0.868185469,0.513371633,0.514926324,0.464695472,0.507306344,0.343877619,0.598060021,0.586930655,0.403382035,0.532158316,0.279966333,0.531922415,778.8644689,805.8608059,800.6227106,805.4578755,637.4358974,-0.354431,0.106995,0.934021,3.805695,-6.445007,-1.375732,1,1,1,1,1,75,
49:54.9,1.358218775,0.248292455,0.58550429,0.544079877,0.709671271,-0.082735561,0.353668183,0.477913997,0.80452396,0.317952899,0.470401744,0.716895088,0.584179891,0.38576296,0.562894308,0.712907037,0.2580566,0.548376797,0.253879973,0.598503997,790.5494505,800.6227106,802.6373626,818.7545788,888.0586081,-0.354309,0.106201,0.940674,4.590759,-7.648773,-1.248627,1,1,1,1,1,75,
49:55.9,0.924029595,-0.187844671,-0.539496242,-0.066609537,0.416221153,-0.152917722,-0.384406463,0.261187697,0.695431369,0.300418303,0.23416328,0.842260643,0.597332562,0.405998572,0.601128536,0.660492224,0.267311066,0.612218801,0.216347134,0.272040433,797.8021978,817.1428571,790.5494505,799.4139194,746.2271062,-0.35675,0.101196,0.934631,4.515991,-6.138458,-1.338348,1,1,1,1,1,75,
49:56.9,0.186595473,-0.531260897,-0.556179093,-0.021038353,0.257515518,-0.164480191,-0.49968941,-0.013232058,0.563172479,0.220660063,0.009557244,0.64364466,0.499712747,0.425130537,0.623114553,0.432540197,0.319333022,0.588149105,0.305536958,0.268665266,797.3992674,820.7692308,807.4725275,819.96337,701.0989011,-0.356079,0.10498,0.939697,4.239349,-7.888031,-1.622467,1,1,1,1,1,75,
